city,cloud,country,date,humidity,lat,lng,max_temp,wind_spd
azle,90,US,1547482500,83,32.9,-97.55,37.94,4.52
fortuna,0,ES,1547481600,26,38.18,-1.13,69.8,6.93
kloulklubed,75,PW,1547481060,74,7.04,134.26,78.8,11.41
polunochnoye,0,RU,1547483532,48,60.87,60.43,-2.83,4.63
yulara,0,AU,1547481600,19,-25.24,130.99,86.0,3.36
karwar,0,IN,1547483533,52,14.8,74.13,73.09,3.18
lotofaga,56,WS,1547483533,100,-13.98,-171.86,82.67,16.49
ewa beach,75,US,1547481420,83,21.32,-158.01,69.08,3.36
mandalgovi,0,MN,1547483533,36,45.76,106.27,-13.36,6.42
hualmay,12,PE,1547483533,69,-11.1,-77.61,77.32,6.42
adre,0,TD,1547483533,45,13.47,22.2,71.87,4.18
bozeman,1,US,1547481360,75,45.68,-111.04,23.0,4.7
santa isabel do rio negro,24,BR,1547483534,73,-0.41,-65.02,85.82,4.74
ixtapa,40,MX,1547481180,73,20.71,-105.21,75.2,1.05
hauterive,90,FR,1547481600,52,46.09,3.45,46.4,5.82
weyburn,68,CA,1547483273,83,49.67,-103.85,13.42,7.43
hofn,90,IS,1547481600,100,64.25,-15.21,32.0,18.34
burnie,92,AU,1547483534,91,-41.05,145.91,66.56,16.49
kromy,92,RU,1547483535,90,52.69,35.77,28.72,18.39
saint-denis,75,FR,1547481600,75,48.94,2.36,46.4,6.93
neiafu,20,TO,1547481600,94,-18.65,-173.98,78.8,2.24
hami,80,CN,1547483528,76,42.84,93.51,23.36,10.22
el real de santa maria,20,PA,1547483535,68,8.11,-77.73,85.96,9.22
beloha,68,MG,1547483535,83,-25.17,45.06,80.33,4.18
